LOOPNr,ID,method,DGUnr,Depth (m),F⁻ [mg/L],Cl⁻ [mg/L],Br⁻ [mg/L],NO₃⁻ [mg/L],PO₄⁻ [mg/L],SO2-4 [mg/L],NH₄⁺ [μg/L],DOC [mg/L],TIC [mg/L],δ¹⁸O [‰],δD [‰],Al [mg/L],Ba [mg/L],Ca [mg/L],Fe [mg/L],K [mg/L],Mg [mg/L],Mn [mg/L],Na [mg/L],Ni [mg/L],Sr [mg/L],Fe(II)_FA [mg/kg],Fe(total)_FA [mg/kg],Fe(II)/Fe(total) [-]
LOOP4,GeoW-2,GeoProbe,165.741,2.25,,25.71,0.51,26.15,261.5,39.09,216.47,,46.4,,,,,,,,,,,,,,,
LOOP4,GeoW-2,GeoProbe,165.741,2.34,,,,,,,,,,,,,,,,,,,,,,-0.1,-3.7,0.02
LOOP4,GeoW-2,GeoProbe,165.741,3.465,,,,,,,,,,,,0.09,0.27,101.49,0.0,1.29,4.34,0.04,23.11,0.01,0.26,,,
LOOP4,GeoW-2,GeoProbe,165.741,3.47,0.69,21.32,0.32,8.98,89.82,22.45,70.48,57.85,58.82,,,,,,,,,,,,,,,
LOOP4,GeoW-2,GeoProbe,165.741,3.56,,,,,,,,,,,,,,,,,,,,,,11.3,210.4,0.05
LOOP4,GeoW-2,GeoProbe,165.741,4.69,3.34,27.3,0.96,29.32,293.2,79.46,157.15,,,,,,,,,,,,,,,,,
LOOP4,GeoW-2,GeoProbe,165.741,4.78,,,,,,,,,,,,,,,,,,,,,,2.1,207.5,0.01
LOOP4,GeoW-2,GeoProbe,165.741,5.91,2.24,20.12,0.94,1.56,15.6,431.46,223.48,,35.0,,,,,,,,,,,,,,,
LOOP4,GeoW-2,GeoProbe,165.741,6.0,,34.15,0.54,1.12,11.2,549.61,149.04,,,,,,,,,,,,,,,,,
LOOP4,IS-1,GeoProbe,165.744,2.21,4.03,19.62,0.26,9.03,90.3,73.91,254.36,,,,,,,,,,,,,,,,,
LOOP4,IS-1,GeoProbe,165.744,2.3,,,,,,,,,,,,,,,,,,,,,,5.6,213.4,0.03
LOOP4,IS-1,GeoProbe,165.744,3.47,1.35,25.1,0.17,24.77,247.7,78.3,176.05,,,,,,,,,,,,,,,,,
LOOP4,IS-1,GeoProbe,165.744,3.56,,,,,,,,,,,,,,,,,,,,,,0.1,22.1,0.0
