LOOPNr,ID,method,DGUnr,Depth (m),F⁻ [mg/L],Cl⁻ [mg/L],Br⁻ [mg/L],NO₃⁻ [mg/L],PO₄⁻ [mg/L],SO2-4 [mg/L],NH₄⁺ [μg/L],DOC [mg/L],TIC [mg/L],δ¹⁸O [‰],δD [‰],Al [mg/L],Ba [mg/L],Ca [mg/L],Fe [mg/L],K [mg/L],Mg [mg/L],Mn [mg/L],Na [mg/L],Ni [mg/L],Sr [mg/L],Fe(II)_FA [mg/kg],Fe(total)_FA [mg/kg],Fe(II)/Fe(total) [-]
LOOP2,P1,GeoProbe,40.2054,1.07,,,,,,,,,,,,,,,,,,,,,,0.2,28.4,0.01
LOOP2,P1,GeoProbe,40.2054,1.6,,,,,,,,,,,,,,,,,,,,,,1.1,162.5,0.01
LOOP2,P1,GeoProbe,40.2054,1.78,0.97,832.49,-0.05,84.51,-0.05,39.56,6573.65,70.54,9.86,-7.06,-47.98,0.52,0.32,96.5,,4.37,39.35,0.52,429.93,0.05,0.78,,,
LOOP2,P1,GeoProbe,40.2054,2.79,,,,,,,,,,,,,,,,,,,,,,10.5,207.1,0.05
LOOP2,P1,GeoProbe,40.2054,2.94,0.4,141.45,0.33,78.38,-0.05,44.91,1362.46,61.68,,,,0.3,0.04,52.27,,1.74,15.55,0.03,70.3,0.03,0.38,,,
LOOP2,P1,GeoProbe,40.2054,4.01,,,,,,,,,,,,,,,,,,,,,,18.2,205.9,0.09
LOOP2,P1,GeoProbe,40.2054,4.16,3.03,55.15,0.27,37.43,-0.05,68.07,,,,,,,,,,,,,,,,,,
LOOP2,P1,GeoProbe,40.2054,4.325,,,,,,,,,,,,,,,,,,,,,,11.7,150.8,0.08
LOOP2,P1,GeoProbe,40.2054,5.23,,,,,,,,,,,,,,,,,,,,,,9.8,282.8,0.03
LOOP2,P1,GeoProbe,40.2054,5.38,1.05,35.71,0.12,45.67,-0.05,45.64,192.85,,,,,0.33,0.11,104.57,,2.2,9.94,0.02,41.52,0.01,0.68,,,
LOOP2,P1,GeoProbe,40.2054,5.92,1.05,36.63,0.42,54.99,-0.05,42.7,208.06,,66.64,,,0.34,0.18,99.01,,4.82,9.23,0.02,44.83,0.01,0.62,,,
